Author,Affiliation,Citations,H-index
R. Mohan Sankaran,University of Illinois at Urbana-Champaign,8143,44
Jean-Pierre Leburton,University of Illinois at Urbana-Champaign,7677,47
Lili Cai,University of Illinois at Urbana-Champaign,6981,27
Qiong Wu,University of Illinois at Urbana-Champaign,6260,15
Anil Kumar,University of Illinois at Urbana-Champaign,68156,103
Hee-Sun Han,University of Illinois at Urbana-Champaign,3696,12
MH xiong,University of Illinois at Urbana-Champaign,3674,27
Subhalakshmi Kumar,University of Illinois at Urbana-Champaign,3472,25
Rosa Maria Espinosa-Marzal,University of Illinois at Urbana-Champaign,3340,34
"Yun-Sheng Chen, Ph.D.",University of Illinois at Urbana-Champaign,3291,24
Muhammad Ibrahim Khan,University of Illinois at Urbana-Champaign,2788,23
Scott J. Robinson,University of Illinois at Urbana-Champaign,2764,20
Vania Petrova,University of Illinois at Urbana-Champaign,2412,16
gangsheng tong,University of Illinois at Urbana-Champaign,2304,28
Nardine S. Abadeer,University of Illinois at Urbana-Champaign,2238,8
Kaimin Cai,University of Illinois at Urbana-Champaign,2225,17
Zhiheng Lyu,University of Illinois at Urbana-Champaign,2082,25
Amit Desai,University of Illinois at Urbana-Champaign,1916,22
Liang Ma,University of Illinois at Urbana-Champaign,51583,90
Maha Alafeef,University of Illinois at Urbana-Champaign,1750,19
Shaloo Rakheja,University of Illinois at Urbana-Champaign,1526,22
Holly McIlwee Golecki,University of Illinois at Urbana-Champaign,1465,15
Sara Pedron Haba,University of Illinois at Urbana-Champaign,1401,17
Ana Fatima Civantos,University of Illinois at Urbana-Champaign,1183,17
Yaofeng Chen,University of Illinois at Urbana-Champaign,1011,11
Shimin Mao,University of Illinois at Urbana-Champaign,994,11
Ahmed Ettaf Elbanna,University of Illinois at Urbana-Champaign,965,19
Seemesh Bhaskar,University of Illinois at Urbana-Champaign,872,22
Yanbin Wu,University of Illinois at Urbana-Champaign,857,10
Artem Shkumatov,University of Illinois at Urbana-Champaign,843,15
Md. Abul Bashar Emon,University of Illinois at Urbana-Champaign,835,11
"Chai Saengow, PhD",University of Illinois at Urbana-Champaign,811,17
Jyothi S. Sadhu,University of Illinois at Urbana-Champaign,777,11
Ankit Sharma,University of Illinois at Urbana-Champaign,7232,37
Runyu Zhang,University of Illinois at Urbana-Champaign,716,12
Anusha Pokhriyal,University of Illinois at Urbana-Champaign,670,14
Marie-Agathe Charpagne,University of Illinois at Urbana-Champaign,650,15
xin yu 于欣,University of Illinois at Urbana-Champaign,622,13
Michal Ondrejcek,University of Illinois at Urbana-Champaign,600,14
Sarah L. White,University of Illinois at Urbana-Champaign,581,9
Kwanghyun Baek,University of Illinois at Urbana-Champaign,4296,38
Quanhui Ye (叶权辉),University of Illinois at Urbana-Champaign,540,11
Austin Hsiao,University of Illinois at Urbana-Champaign,3858,30
Wenxiang Chen,University of Illinois at Urbana-Champaign,857,17
Chang Qian,University of Illinois at Urbana-Champaign,75073,112
Kevin Y. Lin,University of Illinois at Urbana-Champaign,974,15
Nantao Li,University of Illinois at Urbana-Champaign,498,14
Yi Chen,University of Illinois at Urbana-Champaign,73323,110
Ho Kun Woo,University of Illinois at Urbana-Champaign,436,14
Kevin He,University of Illinois at Urbana-Champaign,7106,23
Hankeun Lee,University of Illinois at Urbana-Champaign,431,9
Yoo Kyung Go,University of Illinois at Urbana-Champaign,397,8
Abdul Monnaf Bhuiya,University of Illinois at Urbana-Champaign,372,8
Jessica TerBush,University of Illinois at Urbana-Champaign,372,9
Edmund Han,University of Illinois at Urbana-Champaign,324,7
Hao-Ming Chang,University of Illinois at Urbana-Champaign,317,7
Apratim Khandelwal,University of Illinois at Urbana-Champaign,315,4
Lehan Yao,University of Illinois at Urbana-Champaign,307,8
Anthony Fan,University of Illinois at Urbana-Champaign,33721,94
Vishal Sachdev,University of Illinois at Urbana-Champaign,427,10
Pankul Dhingra,University of Illinois at Urbana-Champaign,281,9
Ellen C. Qin,University of Illinois at Urbana-Champaign,266,8
Tawfiqur Rakib,University of Illinois at Urbana-Champaign,264,8
Roddel Remy,University of Illinois at Urbana-Champaign,263,6
Osman Safa Cifci,University of Illinois at Urbana-Champaign,256,6
Zichao Ye,University of Illinois at Urbana-Champaign,1458,18
Supriya Mandal,University of Illinois at Urbana-Champaign,244,9
Christian James Konopka,University of Illinois at Urbana-Champaign,241,9
Sihan Chen,University of Illinois at Urbana-Champaign,217,5
Yin Huang,University of Illinois at Urbana-Champaign,18696,68
Mukul Govande,University of Illinois at Urbana-Champaign,204,4
Congnyu Che,University of Illinois at Urbana-Champaign,203,8
Aniruddh Rangarajan,University of Illinois at Urbana-Champaign,195,4
Hyegi Min,University of Illinois at Urbana-Champaign,194,5
Thu Q. Doan,University of Illinois at Urbana-Champaign,748,15
Anil K. Kodali,University of Illinois at Urbana-Champaign,190,5
Julio F. Serrano,University of Illinois at Urbana-Champaign,189,5
Matthew Byrne,University of Illinois at Urbana-Champaign,3245,14
Ruiyang Xue,University of Illinois at Urbana-Champaign,180,6
Jayashree Nath,University of Illinois at Urbana-Champaign,264,8
Xian Zhang,University of Illinois at Urbana-Champaign,116960,136
Yichao Zhang,University of Illinois at Urbana-Champaign,404,13
Sreyesh Satpathy,University of Illinois at Urbana-Champaign,172,1
Bharath Venkatesh Raghavan,University of Illinois at Urbana-Champaign,170,7
Yijue Diao,University of Illinois at Urbana-Champaign,170,6
Daniel Najafali,University of Illinois at Urbana-Champaign,163,7
Ahmed Sameer Khan Mohammed,University of Illinois at Urbana-Champaign,155,8
Zuochen Wang,University of Illinois at Urbana-Champaign,155,6
Behzad Mehrafrooz,University of Illinois at Urbana-Champaign,154,8
Joseph Tibbs,University of Illinois at Urbana-Champaign,148,5
Patrick J. Snyder,University of Illinois at Urbana-Champaign,147,8
Kexin Li,University of Illinois at Urbana-Champaign,9464,37
Jinhong Kim,University of Illinois at Urbana-Champaign,838,13
Josue Alejandro Lopez-Berganza,University of Illinois at Urbana-Champaign,134,5
Andrey Mironov,University of Illinois at Urbana-Champaign,7465,37
Yang Bo,University of Illinois at Urbana-Champaign,25545,71
Laurent Souqui,University of Illinois at Urbana-Champaign,106,6
Amanda Bacon,University of Illinois at Urbana-Champaign,104,4
Jiazheng Liu,University of Illinois at Urbana-Champaign,100,6
Hanwei Wang,University of Illinois at Urbana-Champaign,98,7
Rajat Chakraborty,University of Illinois at Urbana-Champaign,6670,35
Ganesh U. Patil,University of Illinois at Urbana-Champaign,94,4
Joseph Whittenberg,University of Illinois at Urbana-Champaign,83,4
Archith Rayabharam,University of Illinois at Urbana-Champaign,82,5
Ignacio Arretche,University of Illinois at Urbana-Champaign,78,4
Quentin Rizzardi,University of Illinois at Urbana-Champaign,72,5
Melika Haji Mohammadi,University of Illinois at Urbana-Champaign,72,4
Max Rich,University of Illinois at Urbana-Champaign,71,4
"Vasiliki Kolliopoulos, PhD",University of Illinois at Urbana-Champaign,70,3
Weinan Liu,University of Illinois at Urbana-Champaign,58,4
Shunya Namiki,University of Illinois at Urbana-Champaign,56,3
Robert A Stavins,University of Illinois at Urbana-Champaign,56,5
Alexandra Blanco,University of Illinois at Urbana-Champaign,52,3
Rimsha Bhatta,University of Illinois at Urbana-Champaign,46,3
Connor Pierce,University of Illinois at Urbana-Champaign,45,2
Rafael Silva Gonçalves,University of Illinois at Urbana-Champaign,63,4
Xin Wang,University of Illinois at Urbana-Champaign,71527,146
Vinod Ramakrishnan,University of Illinois at Urbana-Champaign,37,3
Benjamin Lew,University of Illinois at Urbana-Champaign,24377,7
Shoaib Ahmed,University of Illinois at Urbana-Champaign,4437,39
Pin-Chiao Huang,University of Illinois at Urbana-Champaign,33,1
Jeewon Suh,University of Illinois at Urbana-Champaign,31,3
Jacob Rueben,University of Illinois at Urbana-Champaign,747,5
Emely Lopez,University of Illinois at Urbana-Champaign,135,3
Zachary Riedel,University of Illinois at Urbana-Champaign,31,2
Lukas Janavicius,University of Illinois at Urbana-Champaign,28,3
Hyeon Ryoo,University of Illinois at Urbana-Champaign,11366,50
Hung V. Nguyen,University of Illinois at Urbana-Champaign,6928,44
Aayushman Ghosh,University of Illinois at Urbana-Champaign,24,3
Miles V. Bimrose,University of Illinois at Urbana-Champaign,19,2
YEN TING CHANG,University of Illinois at Urbana-Champaign,60,3
Binxin Fu,University of Illinois at Urbana-Champaign,18,3
Lin Chen,University of Illinois at Urbana-Champaign,21964,77
Abhishek Bhattacharjee,University of Illinois at Urbana-Champaign,3495,29
Md. Rakibul Hasan Roni,University of Illinois at Urbana-Champaign,12,2
Swetapadma Sahoo,University of Illinois at Urbana-Champaign,252,10
Jayesh Sanwal,University of Illinois at Urbana-Champaign,11,2
Michael Nelappana,University of Illinois at Urbana-Champaign,11,1
Joonsu Han,University of Illinois at Urbana-Champaign,157,8
Yurii Zubko,University of Illinois at Urbana-Champaign,9,2
Ziwen Wang,University of Illinois at Urbana-Champaign,956,11
Aagam Shah,University of Illinois at Urbana-Champaign,198,2
Nusrat Jahan Salim,University of Illinois at Urbana-Champaign,6,2
Yan-Ru Chen,University of Illinois at Urbana-Champaign,5,1
Roberto Alonso Pineda Guzman,University of Illinois at Urbana-Champaign,4,1
Arghyadeep Paul,University of Illinois at Urbana-Champaign,17,2
Muhammad Abdelghany,University of Illinois at Urbana-Champaign,6781,50
Leah Espenhahn,University of Illinois at Urbana-Champaign,3,1
Christian Bonney,University of Illinois at Urbana-Champaign,3,1
Shengzhe Ding,University of Illinois at Urbana-Champaign,2,1
James Tallman,University of Illinois at Urbana-Champaign,1,1
Karthick Jeganathan,University of Illinois at Urbana-Champaign,7470,27
Zakaria Islam,University of Illinois at Urbana-Champaign,962,13
Sagar Chaudhary,University of Illinois at Urbana-Champaign,1211,20
Yi Cui,Stanford,276025,259
